EndFiscalYear,NumberPlacements_Segregation,Gender,NumberIndividuals_Segregation
2023,1 placement,Female,764
2023,2 placements,Female,409
2023,3 placements,Female,283
2023,4 placements,Female,170
2023,5 placements,Female,96
2023,6 to 10 placements,Female,205
2023,11 to 15 placements,Female,46
2023,16 to 20 placements,Female,16
2023,21 to 25 placements,Female,11
2023,26 to 30 placements,Female,2
2023,31 to 35 placements,Female,3
2023,36 to 40 placements,Female,2
2023,more than 40 placements,Female,14
2023,1 placement,Male,3442
2023,2 placements,Male,1884
2023,3 placements,Male,1274
2023,4 placements,Male,1056
2023,5 placements,Male,804
2023,6 to 10 placements,Male,1297
2023,11 to 15 placements,Male,352
2023,16 to 20 placements,Male,171
2023,21 to 25 placements,Male,99
2023,26 to 30 placements,Male,65
2023,31 to 35 placements,Male,51
2023,36 to 40 placements,Male,33
2023,more than 40 placements,Male,98
2024,1 placement,Female,878
2024,2 placements,Female,356
2024,3 placements,Female,165
2024,4 placements,Female,86
2024,5 placements,Female,62
2024,6 to 10 placements,Female,103
2024,11 to 15 placements,Female,25
2024,16 to 20 placements,Female,16
2024,21 to 25 placements,Female,7
2024,26 to 30 placements,Female,8
2024,31 to 35 placements,Female,4
2024,36 to 40 placements,Female,2
2024,more than 40 placements,Female,12
2024,1 placement,Male,3675
2024,2 placements,Male,1734
2024,3 placements,Male,1032
2024,4 placements,Male,585
2024,5 placements,Male,327
2024,6 to 10 placements,Male,867
2024,11 to 15 placements,Male,329
2024,16 to 20 placements,Male,201
2024,21 to 25 placements,Male,117
2024,26 to 30 placements,Male,83
2024,31 to 35 placements,Male,52
2024,36 to 40 placements,Male,51
2024,more than 40 placements,Male,104
2025,1 placement,Female,1033
2025,2 placements,Female,295
2025,3 placements,Female,156
2025,4 placements,Female,107
2025,5 placements,Female,67
2025,6 to 10 placements,Female,130
2025,11 to 15 placements,Female,36
2025,16 to 20 placements,Female,27
2025,21 to 25 placements,Female,11
2025,26 to 30 placements,Female,6
2025,31 to 35 placements,Female,5
2025,36 to 40 placements,Female,3
2025,more than 40 placements,Female,12
2025,1 placement,Male,3150
2025,2 placements,Male,1262
2025,3 placements,Male,648
2025,4 placements,Male,459
2025,5 placements,Male,316
2025,6 to 10 placements,Male,816
2025,11 to 15 placements,Male,388
2025,16 to 20 placements,Male,218
2025,21 to 25 placements,Male,154
2025,26 to 30 placements,Male,89
2025,31 to 35 placements,Male,61
2025,36 to 40 placements,Male,36
2025,more than 40 placements,Male,123
