EndFiscalYear,Region_MostRecentPlacement,Gender,Measure,TotalAggregatedDays_RestrictiveConfinement,TotalAggregatedDays_Segregation
2023,Central,Female,Maximum,1,262
2023,Eastern,Female,Maximum,271,93
2023,Northern,Female,Maximum,114,39
2023,Toronto,Female,Maximum,185,74
2023,Western,Female,Maximum,182,203
2023,Central,Female,Median,1,7
2023,Eastern,Female,Median,12,3
2023,Northern,Female,Median,7,2
2023,Toronto,Female,Median,7.5,20
2023,Western,Female,Median,8,3
2023,Central,Female,Mode,1,1
2023,Eastern,Female,Mode,1,1
2023,Northern,Female,Mode,1,1
2023,Toronto,Female,Mode,1,20
2023,Western,Female,Mode,1,1
2023,Central,Male,Maximum,362,265
2023,Eastern,Male,Maximum,361,196
2023,Northern,Male,Maximum,345,92
2023,Toronto,Male,Maximum,361,291
2023,Western,Male,Maximum,226,158
2023,Central,Male,Median,9,4
2023,Eastern,Male,Median,13,4
2023,Northern,Male,Median,11,3
2023,Toronto,Male,Median,10,6
2023,Western,Male,Median,9,4
2023,Central,Male,Mode,1,1
2023,Eastern,Male,Mode,1,1
2023,Northern,Male,Mode,11,1
2023,Toronto,Male,Mode,1,3
2023,Western,Male,Mode,5,4
2023,Central,All,Maximum,362,265
2023,Eastern,All,Maximum,361,196
2023,Northern,All,Maximum,345,92
2023,Toronto,All,Maximum,361,291
2023,Western,All,Maximum,226,203
2023,Central,All,Median,9,4
2023,Eastern,All,Median,13,3
2023,Northern,All,Median,11,3
2023,Toronto,All,Median,10,6
2023,Western,All,Median,9,4
2023,Central,All,Mode,1,1
2023,Eastern,All,Mode,1,1
2023,Northern,All,Mode,1,1
2023,Toronto,All,Mode,1,3
2023,Western,All,Mode,1,4
2024,Central,Female,Maximum,28,275
2024,Eastern,Female,Maximum,300,83
2024,Northern,Female,Maximum,125,159
2024,Toronto,Female,Maximum,146,21
2024,Western,Female,Maximum,141,164
2024,Central,Female,Median,1.5,5
2024,Eastern,Female,Median,12,3
2024,Northern,Female,Median,6,3
2024,Toronto,Female,Median,11,14
2024,Western,Female,Median,5,3
2024,Central,Female,Mode,1,1
2024,Eastern,Female,Mode,1,1
2024,Northern,Female,Mode,1,1
2024,Toronto,Female,Mode,1,14
2024,Western,Female,Mode,1,1
2024,Central,Male,Maximum,366,229
2024,Eastern,Male,Maximum,362,167
2024,Northern,Male,Maximum,357,200
2024,Toronto,Male,Maximum,364,204
2024,Western,Male,Maximum,366,209
2024,Central,Male,Median,6,4
2024,Eastern,Male,Median,17,3
2024,Northern,Male,Median,8,3
2024,Toronto,Male,Median,9,6
2024,Western,Male,Median,5,3
2024,Central,Male,Mode,1,1
2024,Eastern,Male,Mode,1,1
2024,Northern,Male,Mode,1,1
2024,Toronto,Male,Mode,1,3
2024,Western,Male,Mode,1,2
2024,Central,All,Maximum,366,276
2024,Eastern,All,Maximum,362,171
2024,Northern,All,Maximum,357,200
2024,Toronto,All,Maximum,364,204
2024,Western,All,Maximum,366,210
2024,Central,All,Median,6,4
2024,Eastern,All,Median,16,3
2024,Northern,All,Median,7,3
2024,Toronto,All,Median,9,6
2024,Western,All,Median,5,3
2024,Central,All,Mode,1,1
2024,Eastern,All,Mode,1,1
2024,Northern,All,Mode,1,1
2024,Toronto,All,Mode,1,3
2024,Western,All,Mode,1,2
2025,Central,Female,Maximum,226,246
2025,Eastern,Female,Maximum,349,132
2025,Northern,Female,Maximum,187,206
2025,Toronto,Female,Maximum,100,140
2025,Western,Female,Maximum,156,192
2025,Central,Female,Median,3,5
2025,Eastern,Female,Median,13,3
2025,Northern,Female,Median,5,3
2025,Toronto,Female,Median,22,47
2025,Western,Female,Median,3,3
2025,Central,Female,Mode,1,1
2025,Eastern,Female,Mode,2,1
2025,Northern,Female,Mode,1,1
2025,Toronto,Female,Mode,2,
2025,Western,Female,Mode,1,2
2025,Central,Male,Maximum,364,223
2025,Eastern,Male,Maximum,363,213
2025,Northern,Male,Maximum,252,183
2025,Toronto,Male,Maximum,352,250
2025,Western,Male,Maximum,363,177
2025,Central,Male,Median,17,5
2025,Eastern,Male,Median,16,4
2025,Northern,Male,Median,5,4
2025,Toronto,Male,Median,7,7
2025,Western,Male,Median,4,4
2025,Central,Male,Mode,1,1
2025,Eastern,Male,Mode,1,1
2025,Northern,Male,Mode,1,1
2025,Toronto,Male,Mode,1,3
2025,Western,Male,Mode,1,1
2025,Central,All,Maximum,364,246
2025,Eastern,All,Maximum,363,213
2025,Northern,All,Maximum,252,206
2025,Toronto,All,Maximum,352,250
2025,Western,All,Maximum,363,192
2025,Central,All,Median,14,5
2025,Eastern,All,Median,16,4
2025,Northern,All,Median,5,4
2025,Toronto,All,Median,7,7
2025,Western,All,Median,4,4
2025,Central,All,Mode,1,1
2025,Eastern,All,Mode,1,1
2025,Northern,All,Mode,1,1
2025,Toronto,All,Mode,1,3
2025,Western,All,Mode,1,1
